,country,description,designation,points,price,province,region_1,region_2,variety,winery
4156,Italy,"This is delicately scented with whispers of yellow flower, spring blossom and woodland berry. The lively palate delivers crushed strawberry, nectarine, juicy cherry and fennel while a mineral vein energizes the finish.",,89,,Sicily & Sardinia,Etna,,Rosato,Barone di Villagrande
4157,Germany,Austere notes of crushed minerals on the nose belie the punch of peach and melon that await in the palate of this off-dry Riesling. It's a spry but penetrating fruity wine balanced by zesty acidity and a floral touch that lingers on the finish. Drink now through 2020.,Wehlener Sonnenuhr Kabinett Feinherb,89,22.0,Mosel,,,Riesling,Max Ferd. Richter
4158,US,"Napoleon's secret was that he liked Syrah in his Bordeaux blends, so this mix of 46% Cabernet Sauvignon, 23% Syrah, 13% Cabernet Franc, 12% Merlot, 4% Malbec and 2% Petit Verdot shows why, offering fresh and vibrant aromas of blueberry and licorice candy. Bright blackberry preserves pop on the palate as does fudge in this easy-drinking wine.",Napoleon's Secret,89,30.0,California,Santa Ynez Valley,Central Coast,Red Blend,McKinney
4159,US,"This reserve-level cuvée spent eight months in 55% new French oak, and can benefit from additional bottle age. Tightly wound flavors of red berries and red licorice carry a hint of watery chocolate. But there isn't the expected depth or power here, given its place in the winery's Pinot Noir hierarchy.",Domaine Danielle Laurent,89,55.0,Oregon,Willamette Valley,,Pinot Noir,Soléna
4160,Italy,"Made entirely with Nerello Cappuccio, this reveals aromas of raspberry compote, tilled earth, ripe berry and grilled herb. The juicy palate delivers fleshy black cherry, licorice, white pepper and a hint of sage alongside bright acidity and smooth tannins. It's already accessible. Drink through 2019.",Laeneo,89,25.0,Sicily & Sardinia,Sicilia,,Nerello Cappuccio,Tenuta di Fessina
4161,Italy,"Made with Nero d'Avola and Perricone, this offers alluring aromas of red berry, spice and a floral note. The bright, immediate palate offers succulent wild cherry, crushed raspberry nectarine zest and a hint of baking spice alongside zesty acidity that leads to a crisp, clean finish.",,89,,Sicily & Sardinia,Terre Siciliane,,Rosato,Tenuta Rapitalà
4162,France,"Lively and fragrant notes of ripe pear and red apple are immensely appetizing, while the palate is edged with its very own spiciness. The totally moreish ripe-apple freshness pervades and illuminates everything and echoes long. Drink soon while aromas are at their peak.",Plaisir Fruité,89,14.0,Alsace,Alsace,,Pinot Blanc,Ruhlmann
4163,Italy,"Delicately scented, this offers aromas of honeysuckle, citrus blossom and pear while the round, juicy palate doles out white peach, mature apple and Mediterranean herb. A hint of almond closes the clean, lingering finish.",,89,16.0,Southern Italy,Falanghina del Beneventano,,Falanghina,Villa Raiano
4164,Italy,"Fermented and aged in acacia barrels, this deeply colored white has aromas of candied citrus, mature apple, toast and honey. The honeyed note carries over to the evolved palate along with yellow apple skin, coffee, dried herb and a hint of smoke. A walnut note marks the finish.",More Maiorum,89,17.0,Southern Italy,Fiano di Avellino,,Fiano,Mastroberardino
4165,US,"A blend of red fruit and dark spice shows on the nose of this wine, with dried strawberry and red cherry running into licorice, purple flowers and black slate. The flavors are broad with cherry candy notes, boosted by a boisterous pepper spice, and settling into a decently tart finish.",Bailey,89,38.0,California,Adelaida District,Central Coast,Zinfandel,Peachy Canyon
4166,US,"This wine has an attractive cedary, floral aroma, rich fruit accents and a suave streak of new-oak flavor that adds spice and an extra dimension of mouthfeel. It is full-bodied, saturated with fine tannins and has a bold personality.",,89,20.0,California,Shenandoah Valley (CA),Sierra Foothills,Tempranillo,Los Portales
4167,US,"Lively nutty and citrus aromas meet apple and lime flavors in this full-bodied and mouth-watering wine. It has fresh acidity to counter a fairly rich texture, and the resulting balance reinforces the bright flavors.",,89,16.0,California,El Dorado,Sierra Foothills,Sauvignon Blanc,Boeger
4168,Spain,"Very familiar Rioja aromas of cherry, plum and prune scream Tempranillo. This is wiry in feel, with tight, hammering acidity. Berry and black-cherry flavors finish on a subtle note of chocolate along with a final shot of juicy, sharp acidity.",Reserva,89,23.0,Northern Spain,Rioja,,Tempranillo,Dios Ares
4169,US,"Made from organic grapes, this well-proportioned wine has light oak aromas, classic cherry and black plum flavors, and touches of black olive and herbs. There is something mouthwatering about the firm tannins and acidity, and these will help it pair well with food.",,89,14.0,California,Mendocino County,Mendocino/Lake Counties,Cabernet Sauvignon,Girasole
4170,US,"Inman has not offered much Chardonnay before, but this one is highly distinctive, light as a feather, floral, crisp and citrusy, basking in Chablis-like, wet stone minerality. Those looking for butter and oak should travel elsewhere; at a preposterously unheard of 11.6% alcohol, this wine offers silky, subtle intrigue.",,90,35.0,California,Russian River Valley,Sonoma,Chardonnay,Inman Family
4171,France,"Ripe yellow fruits and fragrant acidity dominate this bright, fruity wine. It has a light touch of minerality and a tight steely texture that is full of zest, giving a layered structure of fruit and acidity. The wine, one of the Kuentz-Bas biodynamic range, should age, so drink from 2016.",Trois Châteaux,90,32.0,Alsace,Alsace,,Riesling,Kuentz-Bas
4172,Chile,"Fresh tomato, plum, herb and spice aromas are authentic. A medium bodied palate is lifted and elegant. Flavors of woody spice, light herb, raspberry and red plum finish racy, with hints of cocoa and white pepper. Among Chilean Pinot Noirs, this is at the top of its field.",Marea,90,25.0,Leyda Valley,,,Pinot Noir,Luis Felipe Edwards
4173,US,"From a myriad of wonderful vineyards, this vibrant wine offers an incredible deal at the price, with a lively bouquet of fennel, apple and pear. Chalky in texture with delicious acidity, it has baking spices popping up on balanced finish.",,90,30.0,California,Russian River Valley,Sonoma,Chardonnay,Lynmar
4174,US,"Notes of violet, preserved plums and cherries persist throughout this lush, concentrated Pinot Noir. It's medium-bodied in style, with crisp acidity, yet the palate seems to build in richness and body. The finish brings elegant, fine-grained tannins.",,90,24.0,New York,Finger Lakes,Finger Lakes,Pinot Noir,Billsboro
4175,US,"Made cryogenically, this sweet late harvest-style wine—which clocks in at 165 g/L residual sugar—delivers a lot of decadent flavor. Honey and tea—unctuous and peachy—coat the tongue while remaining on the right side of cloying. Streaks of vanilla and butter cookie come into play as well.",Ice,90,13.0,Washington,Yakima Valley,Columbia Valley,Riesling,Frost Bitten
4176,US,"Named after winemaker David Corey's son, this 74% Cabernet Sauvignon, 19% Cabernet Franc, 4% Petit Verdot and 3% Merlot begins with nose-tickling scents of berry syrup and smoked cigars. The maduro cigar flavor consumes the palate, with black cherry fruit and smooth tannins. It can stand up to a fat stogie or gamy meats like lamb.",Cuvée Nolan Santa Barbara Highlands,90,42.0,California,Santa Barbara County,Central Coast,Bordeaux-style Red Blend,Kuyam
4177,US,"Layers of mushroom, savory spice, and earth lend depth and complexity to luscious red raspberry and cherry flavors in this complex, standout Cabernet Franc. Tart cranberry cuts through the supple and silky palate, leading to a cool, mineral finish.",,90,16.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Heron Hill
4178,US,"Touches of sage and tarragon breathe freshness into succulent red cherry and berry aromas on this rich, full-bodied Cabernet Franc. The palate shows off pure, pristine red fruit, jolted by a shock of cranberry acidity and a lingering wet-granite finish.",Estate Bottled Unoaked T23,90,20.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Lamoreaux Landing
4179,US,"This is a barrel-aged, punch-in-the-face blend of 62% Grenache and 38% Mourvèdre from Santa Maria-based winemaker Dave Corey, who sources most of his fruit from the Cuyama Valley. Its cherry syrup nose dives into a thick, juicy palate, heavily spiced with tobacco, laden with chalky tannins and ending with vanilla.",Elevation Sensation Alta Mesa Vineyard,90,35.0,California,Santa Barbara County,Central Coast,Rhône-style Red Blend,Core Winery
4180,US,"Of all the 2012 releases from Mannina, this is the most dense, dark and substantial. Cassis and black cherry fruit is set against a stiff streak of char and coffee, backed with firm, ripe tannins. The length and balance are just right for ripe fruit from young vines.",,90,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cabernet Sauvignon,Mannina Cellars
4181,US,"This blend of 50% Cabernet Sauvignon, 21% Merlot, 19% Cab Franc and 10% Petit Verdot is sourced from the Hedges, Stillwater, and Conner Lee vineyards. At first soft and smooth, it morphs into a textural wine with a mouthful of purple and black fruits—from blackberry on through cassis. Streaks of smoke, graphite and espresso highlight the finish.",Jammin',90,20.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Elevation Cellars
4182,US,"Charred beef tips, grilled whole fish, wet dirt and heavy tar combine for a pungent, serious nose on this Syrah from a vineyard planted by Central Coast pioneer Dale Hampton. It's elegant and soft on the palate, opening up with boysenberry and sage, and possesses ample tannins for aging. Hang on until 2018.",Hampton Vineyard,90,35.0,California,Santa Barbara County,Central Coast,Syrah,Epiphany
4183,Chile,"With tight, crisp aromas of berry fruit, toast, mineral and mint, this Cabernet Sauvignon blend is high toned—coming across racy and snappy. Jumpy, lively plum and raspberry flavors are backed by leafy, herbal notes and resiny oak. A spicy mint finish concludes this energetic yet oaky blend. Drink through 2021.",Catalina,90,50.0,Maipo Valley,,,Red Blend,Santa Ema
4184,US,"From a vineyard in the heart of Rutherford replanted in time to make the 2010 vintage, this Tonella Cabernet is dark black and dense in black cherry, tobacco and chocolate. Ready to age until 2017 or so, the wine imparts a lift of acidity on the finish.",Tonella Vineyard,90,90.0,California,Napa Valley,Napa,Cabernet Sauvignon,Sequoia Grove
4185,US,"Granite and red cherry notes are reminiscent of fine Beaujolais in this surprisingly tasty Hudson River Gamay. Cranberry and cherry flavors are tangy and revitalizing, nuanced by fresh herbs and leaves. It's elegant and sprightly through a moderately long finish.",Reserve,90,21.0,New York,Hudson River Region,New York Other,Gamay Noir,Whitecliff Vineyard
4186,US,"One of Santa Barbara County's pioneer properties delivers an aromatically luscious wine, with aromas of white flowers, French toast, quince and lime sorbet on the nose. It's a bit like sipping perfume of tuberose and honeysuckle, yet there is bouncy acidity and chalky minerality, ensuring an emerging shelf life through 2018.",Zaca Mesa Vineyards,90,16.0,California,Santa Ynez Valley,Central Coast,Chardonnay,Zaca Mesa
4187,France,"One of the rare vineyards which can produce Grand Cru Sylvaner, Zotzenberg's chalk soil gives a mineral while juicy and fresh wine. The lightest hint of spice gives the wine some weight, and the ripe, fruity apples and creamed pear are already delicious. Not for aging.",Zotzenberg Grand Cru,90,,Alsace,Alsace,,Sylvaner,Boeckel
4188,US,"Full-bodied and lush on the palate, this exuberant wine offers a brightness of red raspberry fruit followed by acres of lively clove and ginger spice. High in acidity, it has years to go before it sleeps, the finish savory in leather.",Rosemary's Block,90,55.0,California,Napa Valley,Napa,Zinfandel,Brown Estate
4189,Italy,"This leads off with aromas of mature black fruit, toasted oak, coffee bean and a whiff of balsamic herbs. The ripe palate delivers fleshy red cherry and black raspberry with layers of cocoa, espresso and sage alongside bracing tannins.",Rabajà,90,65.0,Piedmont,Barbaresco,,Nebbiolo,Cascina Luisin
4190,Italy,"Pretty aromas suggest violet, sandalwood, incense, plum and chocolate. The ripe palate offers crushed black cherry, mocha, espresso and vanilla alongside firm tannins. A licorice note signals the close.",Bernardot,90,93.0,Piedmont,Barbaresco,,Nebbiolo,Ceretto
4191,France,Ripe plum fruits give this big and fruity wine from the 130-acre Castéra vineyard a rich character. The structure provides a fine support with tannins that bring out the concentrated blackberry fruits. It's full of potential; drink from 2018.,,90,25.0,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Castera
4192,France,"A well constructed, solid wine, this has a fine layer of firm tannins that melds well with the rich black plums and acidity. Even this young, the wine is showing a balanced character, warm and ripe. It will age, so drink from 2018.",,90,35.0,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Franc Pipeau
4193,US,"Winemaker Kristy Melton continues to show a sense of restraint in her wines. This Merlot provides a classic example, concentrated in dusty red fruit and smooth, supple tannins, a sideways glance of cinnamon and clove flirting thoughout. Structure and elegance reign here over power and oak.",,90,35.0,California,Napa Valley,Napa,Merlot,Clos du Val
4194,US,"Expertly integrated butter elements mix with peach and lime spritz on the nose. This single-vineyard Chardonnay offers stone fruit flavors, slight sea saltiness and a long vanilla finish for very easy drinking.",Harman Vineyard,90,35.0,California,Santa Cruz Mountains,Central Coast,Chardonnay,Clos La Chance
4195,US,"A tremendously well-made Chardonnay at the price and production levels, this is lean in high-toned acidity but offers tropical goodness, a swath of lime throughout. Balanced and tense, the twist of lime comes back on the finish. This is a great wine to stock up on for larger gatherings.",,90,25.0,California,Sonoma Coast,Sonoma,Chardonnay,Crossbarn by Paul Hobbs
4196,Italy,"This structured wine features an enticing fragrance of red rose petal, blue flower and a whiff of crushed red berry. The robust palate delivers juicy black cherry layered with notes of spice, vanilla, tobacco and anisette alongside firm tannins that need time to unfold.",Froi,90,50.0,Piedmont,Barbaresco,,Nebbiolo,Rivetti Massimo
4197,Slovenia,"This brilliant straw colored Chardonnay has aromas of lemon blossoms and green apples. On the palate, it's smooth and clean with flavors of lemon curd and baked apple.",,90,17.0,Štajerska,,,Chardonnay,Sanctum
4198,Italy,"Fragrances suggest wild berry layered with notes of forest floor, red rose, leather, clove and balsam. On the palate, sage, thyme and espresso back up sensations of ripe Morello cherry alongside tightly woven and assertive tannins that need time to unwind. Drink 2016–2023.",Roncaglie,90,49.0,Piedmont,Barbaresco,,Nebbiolo,Socré
4199,US,"This powerful Cabernet Sauvignon calls on 13% Malbec to further its brawn, the mix spending two years in entirely new French oak. Hugely muscular, it needs time to calm its masterfully ripe fruit and dark layers of clove spice, and to further soften its tannins and coax out the shy component of herb. The vineyard behind the wine is Bismark within the newly named Moon Mountain District.",Winemaker's Cuvée,90,64.0,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Ram's Gate
4200,US,"This wine has overlapping personalities. One drips richly in vanilla and honey, while the other is lemony tart and electric in acidity. They commingle on the finish, and will clearly decide whether to get along or part over time. Give the wine a good swirl.",Estate Bottled,86,25.0,California,Russian River Valley,Sonoma,Chardonnay,Foppiano
4201,US,"Steely yet somewhat sweet, it offers a richness of baked apple and pear amid midweight layers of softened tannins.",,86,24.0,California,Russian River Valley,Sonoma,Chardonnay,Girard
4202,US,"Supple at the core, this wine is framed by a medium amount of chewy tannins that give traction to the high-toned flavors of tobacco, vanilla and earthy spices.",,86,60.0,Virginia,Virginia,,Meritage,Jefferson Vineyards
4203,Portugal,"With attractive lemon flavors within a smooth and rich wine, this is both bright and ripe. It's aromatic and full in the mouth, showing apple, peach and mineral tones. Drink from 2015.",,86,13.0,Douro,,,Portuguese White,Kopke
4204,Italy,"Informal and simple, it offers bright red cherry-berry fruit, sweet cake spices and hints of alpine herbs. The silky smooth tannins and fresh acidity make this already extremely accessible so enjoy now–2020.",Tresuri,86,55.0,Piedmont,Barolo,,Nebbiolo,Mauro Sebaste
4205,US,"Pink lemonade and cherry pie mesh together into a strong, slightly boozy aroma on this adventurous blend of 30% Petite Sirah, 30% Syrah, 30% Grenache and 10% Tannat from Matt Villard's Petite Sirah-focused project. Cherry and orange juice dominate the palate.",Pink,86,18.0,California,Paso Robles,Central Coast,Rosé,MCV
4206,Italy,"This forward wine opens with funky aromas of game and leather, with a whiff of barnyard. The palate is evolved and much of the fruit has already dried up, leaving bitter prune alongside green, astringent tannins.",Rio Sordo Riserva,86,60.0,Piedmont,Barbaresco,,Nebbiolo,Cascina Bruciata
4207,Italy,"Rustic aromas recall barnyard, game and overripe black fruit. The palate offers mature plum layered with chocolate, vanilla and game, with extremely astringent tannins that give a drying, lean finish.",Bussia,86,,Piedmont,Barolo,,Nebbiolo,Costa di Bussia
4208,Romania,"Ruby garnet in color, this has aromas of red plums, purple flowers and black fruit conserves. There are nice bright fruit flavors on the palate, with touches of tobacco leaf and tart cherry on the finish.",La Umbra,86,9.0,Dealurile Munteniei,,,Cabernet Sauvignon,Cramele Halewood
4209,Spain,"Berry and plum aromas come with a hard oak topping that's hinting at paint and turpentine. The palate is juicy and tannic, with flavors of plum, berry, minty herbs and oak. The finish is rubbery and hot, with oaky leftovers.",Reja Joven,86,15.0,Northern Spain,Ribera del Duero,,Tempranillo Blend,Rejadorada
4210,US,"Aromas of grilled herbs, barbecue sauce and pressed flowers are bold and delineated. Medium in weight, it has a soft core framed by lean tannins and bright acids.",,86,18.0,Virginia,Virginia,,Merlot,Rosemont
4211,Argentina,"Firm dark-berry aromas come with cola and leafy notes that feel tannic and gripping but alive. Big berry and black plum flavors are leafy and spicy in style. It finishes tight, but should open and relax with a bit of time in the glass, and would go well with pizza and burgers.",Portillo Estate Bottled,86,11.0,Mendoza Province,Uco Valley,,Cabernet Sauvignon,Salentein
4212,US,"This wine shows apparent barrel aging on the nose, with vanilla bean and coconut oil alongside caramelized apricot aromas. There is a very ripe papaya and guava tropicality on the palate, with a slight finish of iodine.",,86,20.0,California,Paso Robles,Central Coast,Pinot Gris,Still Waters
4213,US,"Focused scents of white peach, salumi and yellow apple mark this blend of 50% Chardonnay and 50% Sauvignon Blanc. Lax acidity makes the wine feel tensionless. A note of apple juice marks the medium-long finish.",Crop,86,26.0,Arizona,Arizona,,White Blend,Sultry Cellars
4214,US,"Expressive of dill, licorice and cherry flavors, the palate bears firm tannins and balanced acids.",,86,25.0,Virginia,Virginia,,Cabernet Franc,The Boneyard
4215,US,"Sampled in a half bottle, this unusual version of a Muscat (most are off-dry) was quite tart, with potent flavors of citrus flesh and rind. Not as much orange flavor as one might expect, it's more in the lemon/grapefruit camp.",Dry Muscat,86,21.0,Oregon,Willamette Valley,Willamette Valley,Muscat,Treos
4216,Spain,"Concentrated berry aromas are basic and hint at sugar beets. This feels jammy and a bit syrupy, while robust berry, beet and chocolate flavors finish a touch heavy and sticky. For the money, this is generous and plenty good.",,86,8.0,Central Spain,Vino de la Tierra de Castilla,,Tempranillo,Pallas
4217,Spain,"Full, pushy aromas of stewed plum, tomato, herbs and heavy oak come in front of a high-acid palate with salty flavors of herbal red plum, oregano, basil and tomato. A saline character sits heavily on the wine's chunky finish.",,86,22.0,Central Spain,La Mancha,,Red Blend,El Vinculo
4218,Portugal,"As fresh as can be, this is a bright, lively and lightly perfumed wine. It has grapefruit, apricot fruit and a touch of minerality. Drink through 2015.",V,86,13.0,Alentejano,,,Verdelho,Herdade do Esporão
4219,Portugal,"With its intense spice and rich texture, the wine seems bigger than it is. In fact, it is fresh while soft and very aromatic, with a pale salmon color. It's delicious, smooth and ready to drink.",Colecção Privada,86,19.0,Península de Setúbal,,,Moscatel Roxo,José Maria da Fonseca
4220,US,"Brûléed pastry crust and salted butter aromas overlay golden apple and spiced pear tones. The palate feels lax with curved acids, which lead to a light, yielding finish.",,86,24.0,Virginia,Monticello,,Chardonnay,King Family
4221,France,"The wine is soft, showing ripe apple fruits, pears and apricots, with fresh acidity. It's light, but has a strong sense of texture and minerality. It's ready to drink but will be better early in 2015.",Château de La Haudinière Sur Lie,86,13.0,Loire Valley,Muscadet Sèvre et Maine,,Melon,Les Vignerons des Terroirs de la Noëlle
4222,Serbia,"This aged Riesling is medium gold colored, with pleasant aromas of lemon peel and petrol. It is round and generous on the palate, with flavors of lemon custard and green olive tapenade. The finish is long, with lingering flavors of lemon pith.",Margus Margi,86,22.0,Župa,,,Riesling,Budimir
4223,Spain,"Bright plum and berry aromas are clear but basic. In the mouth, this young wine is crisp, tannic and a touch citric. Wild berry flavors dance alongside peppery spice notes, while the finish is zesty, a touch bitter and hot.",Granate Roble,86,10.0,Northern Spain,Ribera del Duero,,Tempranillo Blend,Bodegas Fuentespina
4224,US,"Aromas of dust and stewed plums give a pleasing entry, but once sipped the wine tastes like it needs more time to mature. The flavors approach strawberry and other red fruits, but remain quite tart and tannic.",Reserve,86,48.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Broken Earth
4225,US,"A pretty strawberry-colored rosé, this shows uniform scents and flavors of strawberry, with a peppery kick in the finish. It was fermented in neutral French oak.",Rosé of,86,20.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Bryn Mawr Vineyards
4226,France,"The wine is light, fresh and fruity. Red berry flavors come through strongly along with crisp acidity and the lightest touch of tannin. You can't miss the acidity at the end.",,86,,Bordeaux,Côtes de Bourg,,Bordeaux-style Red Blend,Château Blanchereau
4227,France,"A big, ripe and jammy wine made from old vines. There are black plum fruits but the wine is dominated by licorice, black coffee and wood. It is powerful and very solid. Drink from 2017.",Cuvée Prestige,86,36.0,Bordeaux,Lussac Saint-Émilion,,Merlot,Château des Landes
4228,US,"Light in color it reveals intense aromas of ripe, baked cherry fruit and pungent earth, streaks of herbal cinnamon and clove playing in the background.",Saralee's Vineyard,86,30.0,California,Russian River Valley,Sonoma,Pinot Noir,Cuvée Wine Cellars
4229,US,"Concentrated toast and golden apple notes carry onto the round, medium- to full-bodied palate, which comes with bright acids, a white peach flavor and a sense of flesh.",,86,18.0,Arizona,Cochise County,,Pinot Gris,Pillsbury
4230,US,"Tart Mandarin orange rind is woven into riper aromas of Anjou pear and honey butter on the nose of this wine. Its palate is Chablis-like, with lime, lemon and kumquat flavors, strung from a nervy, chalky spine, finishing with limestone and gravel touches.",Rincon Vineyard,93,44.0,California,Arroyo Grande Valley,Central Coast,Chardonnay,Talley
4231,US,"Big, powerful and confidently ripe, this full-bodied wine oozes with luscious blackberry, wild sage and blueberry flavors that seemingly melt in the mouth. A great example of the late harvest style without being sweet, it's dry, concentrated and persistent on the finish.",Bigelow,93,34.0,California,Contra Costa County,Central Coast,Zinfandel,Three
4232,Australia,"Named for the special format of small oak barrel it's aged in, this has soaked up the oak impressively. Hints of vanilla and graham crackers accent mixed berry fruit, while the finish is long and mouthwatering. There's ample concentration, yet the wine never seems heavy. Drinkable now, but why rush things? Drink 2020–2030.",The Octavius Old Vine,93,120.0,South Australia,Barossa,,Shiraz,Yalumba
4233,Italy,"Truffle, leather, mature black-skinned fruit and carob aromas emerge from this powerful red. The full-bodied palate delivers succulent wild cherry, black raspberry, licorice, pipe tobacco and grilled herb flavors with big, chewy tannins. Drink 2019–2027.",,93,,Tuscany,Brunello di Montalcino,,Sangiovese,Caprili
4234,France,"A touch of flinty reduction clings to the nose but soon relaxes into soft notes of ripe black cherry. The palate is textured and dry, harmonious with fruit and the gentle ripple and crunch of slightly rustic but utterly pleasant tannins. This seems to be its perfect drinking window now: generous with fruit, utterly harmonious and starting to mellow. The finish is fresh, clean and totally moreish. If you can resist at all, this may well continue to develop. Drink now through 2025.",Lieu-dit Kugelberg,93,28.0,Alsace,Alsace,,Pinot Noir,Cave de Ribeauvillé
4235,US,"Seared lemon, hazelnut, brown butter and sandalwood with a graphite minerality come through on the nose of this complex wine from Jonathan Nagy. The palate offers hints of herbs and chamomile at first, then washes of citrusy acidity and apple notes, all held together with steely tension.",Bien Nacido Vineyard,93,40.0,California,Santa Maria Valley,Central Coast,Chardonnay,Byron
4236,US,"Fresh blackberry and boysenberry aromas meld with rose petal and hickory smoke on the warm entry of this bottling from Jonathan Nagy. The palate is packed with peppery spice, bright red cherry, thyme and root beer flavors.",La Encantada Vineyard,93,55.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Byron
4237,Italy,"Forest floor, truffle, new leather, ripe berry and a balsamic note are some of the aromas you'll find in this delicious red. The fresh, chewy palate doles out fleshy black cherry, chopped mint and white pepper notes, while big, round tannins provide structure. It's already enjoyable but will offer years of fine drinking. Enjoy 2018–2024.",,93,60.0,Tuscany,Brunello di Montalcino,,Sangiovese,Campogiovanni
4238,Spain,"This purple-tinted Carignan is a concentrated number with familiar varietal and regional aromas of latex, graphite, schist, tire rubber and black fruits. In the mouth, this is chewy and full bodied, but not heavy. Oaky spicy blackberry and nutmeg flavors linger on a mildly woody, extracted and gritty finish. Best to give this a few more years so drink through 2022.",Tros de Clos,93,99.0,Catalonia,Priorat,,Carignan,Portal del Priorat
4239,France,"The wine from this estate perched high above Château Angélus is tight and mineral. While the dark dense tannins are to the fore, it also has great fruits. The acidity and the crisp texture give the wine both its intensity and its potential. Drink from 2025.",,93,,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château Bellevue
4240,France,"Packed with the dark tannins and structure of Cabernet Sauvignon, this wine, produced by the team of Calon Ségur is intense, concentrated and dark. It has a firm structure, solid and with a luscious aftertaste. The acidity of the year just shows at the end. Drink from 2026.",,93,20.0,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Capbern
4241,France,"Owned by the Vialard family, this is a very fine wine. While it does have strong wood flavors at this young stage, they are going to be there to support the ripe jammy fruit. The wine from this 111-acre estate is generous and is going to age well. Drink from 2022.",,93,22.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Cissac
4242,France,The second wine of Cos d'Estournel is powerfully packed with tannins and dark ripe fruit. It is enormously rich and intense while keeping a fine smooth texture. There is a dark core that is going to allow the wine to develop over many years. Drink from 2024.,Les Pagodes de Cos,93,65.0,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Cos d'Estournel
4243,France,"This is a deliciously balanced wine. Spice from the wood aging makes a happy contrast with the black-currant fruit and acidity. It is elegant and with great fruitiness. The wine, with its tannic base, will age well. The estate is to the west of Saint-Emilion, close to Château Figeac. Drink from 2023.",,93,35.0,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Château la Grâce Dieu
4244,France,"The tannins and density of this wine are impressive. With its strong structure and concentrated fruit, the wine is ripe and likely to age well. Blackberry and red-cherry flavors dominate a wine that is going to be ready to drink from 2022.",,93,110.0,Bordeaux,Pomerol,,Bordeaux-style Red Blend,Château Latour à Pomerol
4245,US,"This graceful, light-bodied wine from a promising new brand smells of strawberries and cream and tastes fresh and well-balanced. Red cherry, strawberry and clove notes blend with the creamy texture, leaving a soft but lightly tannic feel on the tongue that makes the wine even more appetizing and complete.",Ferrington Vineyard,93,60.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Daniel
4246,France,"There is the merest hint of chamomile lift on the nose, pulling all the other flavors heavenwards with it. There is apple as well as lemon zest. The palate is wonderfully pure and totally dry. Here and there more herbal inflections show and more mellow hints of baked apple. This is dry, taut and aromatic, but also clean-cut and precise. Lovely now but with definite aging potential. Drink now through 2030.",Brand Grand Cru,93,35.0,Alsace,Alsace,,Riesling,Domaine Charles Baur
4247,France,"A slightly brooding nose suggests brambly fruit as well as freshness. The palate crunches with red and black cherry, imbued with a kind of boyish impish joy. This is disarmingly rustic, but also very, very unusual and utterly moreish in its singular and honest simplicity. Drying tannins coat the mouth while juicy tart freshness makes you want to take another sip. This is all about stormy, romantic wilderness. Beware, this might just steal your heart.",Burlenberg,93,36.0,Alsace,Alsace,,Red Blend,Domaine Marcel Deiss
4248,France,"Brilliant golden color promises richness. The nose obliges with a seamless scent of apples: fresh and ripe, baked and mellow. The palate shows soaring freshness, but countless notions swirl on the dry palate of this traditional field blend: citrus and apple, pear and blossom. There is so much fruit, so much expression, this is pure exuberance, but in a rather grown-up way. A very apt expression of both the freshness and the richness of Alsace.",Alsace,93,24.0,Alsace,Alsace,,Alsace white blend,Domaine Marcel Deiss
4249,France,"Heady notes of dried pear mingle with pleasant notes of earth. The palate is totally fluid and concentrated, streamlined with freshness but characterized by a rich luscious vein of sweetness. This is a late harvest to be reckoned with. Concentration and length are impressive and are just now getting into their stride.",Clos Saint-Théobald Grand Cru Rangen Vendanges Tardives,93,72.0,Alsace,Alsace,,Pinot Gris,Domaine Schoffit
4250,France,There is just a faint touch of honeysuckle on the nose. The palate follows with creamy floral peach notes on an incredibly light-bodied fluid palate of great intensity and stony depth. It is only on the aftertaste that the full volume and power of these aromatics shine. This feels like the aromatic heart of Alsace itself.,Clos Saint-Théobald Grand Cru Rangen,93,45.0,Alsace,Alsace,,Muscat,Domaine Schoffit
4251,US,"With a sizable presence on the nose and a palate evocative of black cherry, strawberry compote and orange peel, this wine speaks volumes in terms of texture and body. Its full-bodied concentration is supported by generous oak. Despite all that power, the tannins remain demure and relatively well behaved.",Year of the Horse Single Vineyard Reserve,93,90.0,California,Russian River Valley,Sonoma,Pinot Noir,Donum
